Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-17,A Quiet Place,2018,https://boxd.it/WP76J,4,Yes,"w/ myself, @ school, prime",2020-01-17
2020-01-17,Ferris Bueller's Day Off,1986,https://boxd.it/WREpN,4.5,,"w/ myself, @ home, netflix",2020-01-17
2020-01-18,Inside Out,2015,https://boxd.it/WVxbn,3,,"w/ myself, @ home, disney+",2020-01-17
2020-01-18,Ferris Bueller's Day Off,1986,https://boxd.it/WU1ip,5,Yes,"w/ myself, @ home, netflix",2020-01-18
2020-01-19,Midsommar,2019,https://boxd.it/WZCyf,3.5,,"w/ myself, @ home, prime",2020-01-18
2020-01-20,What's Eating Gilbert Grape,1993,https://boxd.it/X6dah,3.5,,"w/dad, @ home, netflix",2020-01-20
2020-01-20,1917,2019,https://boxd.it/XaHhv,4,,"w/dad, @ theatre",2020-01-20
2020-01-21,Don't Talk to Irene,2017,https://boxd.it/XguPr,3.5,,"w/ myself, @ home, prime",2020-01-20
2020-01-22,The Secret Life of Walter Mitty,2013,https://boxd.it/XlnfV,3,,"w/ myself, @ home, sparrow",2020-01-22
2020-01-23,Wild Card,2015,https://boxd.it/Xpnzp,,,"w/ myself, @ school, prime",2020-01-23
2020-01-24,Tomorrowland,2015,https://boxd.it/XvB3p,3,Yes,"w/ myself, @ home, sparrow",2020-01-24
2020-01-25,Jumanji: The Next Level,2019,https://boxd.it/XAAuJ,3.5,,"w/ sofia, @ theatre",2020-01-25
2020-01-26,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/XGmxL,3,Yes,"w/ myself, @ home, netflix",2020-01-26
2020-01-27,Mine,2016,https://boxd.it/XMLVb,1.5,,"w/dad, @ home, netflix",2020-01-27
2020-01-28,Annihilation,2018,https://boxd.it/XSyGp,3.5,,"w/ myself, prime, @ home",2020-01-28
2020-01-29,Overlord,2018,https://boxd.it/XWrlR,3.5,,"w/ myself, @ school, prime",2020-01-29
2020-01-30,Between Two Ferns: The Movie,2019,https://boxd.it/Y1uux,3,Yes,"w/ myself, @ home, netflix",2020-01-30
2020-02-01,The Invention of Lying,2009,https://boxd.it/Y9R7x,3,,"w/ myself, @ home, netflix",2020-01-31
2020-02-01,The Lion King,2019,https://boxd.it/YaOY1,3,,"w/ myself, @ home, disney+",2020-02-01
2020-02-03,Up in the Air,2009,https://boxd.it/YkL3B,3.5,,"w/ myself, @ home, netflix",2020-02-02
2020-02-03,Moon,2009,https://boxd.it/YkLH7,3,,"w/ myself, @ home, netflix",2020-02-02
