Date,Name,Year,Letterboxd URI,Rating
2020-06-12,War of the Worlds,2005,https://boxd.it/2bde,3
2020-06-13,The Terminal,2004,https://boxd.it/2a2O,3.5
2020-06-13,Artemis Fowl,2020,https://boxd.it/h3Vs,1.5
2020-06-16,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2020-06-23,Speed,1994,https://boxd.it/28qk,3
2020-06-23,7500,2019,https://boxd.it/iqZY,2
2020-06-29,The Terminator,1984,https://boxd.it/2aQY,3
2020-06-30,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4
2020-06-30,My Spy,2020,https://boxd.it/lPHG,2.5
2020-07-01,The King of Staten Island,2020,https://boxd.it/litG,4
2020-07-03,Sharknado,2013,https://boxd.it/69Qc,1
2020-07-04,Sharknado 2: The Second One,2014,https://boxd.it/7hGQ,2
2020-07-07,Dinner for Schmucks,2010,https://boxd.it/15dA,1.5
2020-07-10,Spaceballs,1987,https://boxd.it/29cy,3
2020-07-11,You Don't Mess with the Zohan,2008,https://boxd.it/1VHs,2
2020-07-12,Enemy,2013,https://boxd.it/5xtO,3.5
2020-07-12,Panic Room,2002,https://boxd.it/2490,4
2020-07-12,Grown Ups 2,2013,https://boxd.it/3GAq,2
2020-07-12,United 93,2006,https://boxd.it/1XHY,4
2020-07-12,Flightplan,2005,https://boxd.it/1YZu,3
2020-07-13,Palm Springs,2020,https://boxd.it/lCXQ,3
2020-07-14,Captain Phillips,2013,https://boxd.it/3GPK,3.5
2020-07-18,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,2.5
2020-07-19,Gladiator,2000,https://boxd.it/2b9m,3.5
2020-07-19,The Half of It,2020,https://boxd.it/m0T4,3
2020-07-19,Megamind,2010,https://boxd.it/16Sk,4
2020-07-20,The Usual Suspects,1995,https://boxd.it/29XE,3.5
2020-07-22,Psych 2: Lassie Come Home,2020,https://boxd.it/lpbY,3
2020-07-22,Clueless,1995,https://boxd.it/1Ygk,4
2020-07-23,The Lobster,2015,https://boxd.it/7tnw,3.5
2020-07-26,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,3
2020-07-26,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,3
2020-07-26,Diary of a Wimpy Kid: The Long Haul,2017,https://boxd.it/eL00,1.5
2020-07-28,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3.5
2020-07-28,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2020-07-28,Best in Show,2000,https://boxd.it/1Pqq,3
2020-07-29,The Hunt,2020,https://boxd.it/iE9i,2.5
2020-07-29,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/2TG0,3.5
2020-07-29,Chef,2014,https://boxd.it/6lCG,3.5
2020-08-03,Comedy Central Roast of Bruce Willis,2018,https://boxd.it/jwR4,3
2020-08-05,As Good as It Gets,1997,https://boxd.it/268y,3
2020-08-05,Life of Pi,2012,https://boxd.it/37pC,4
2020-08-07,Jackass 3.5,2011,https://boxd.it/2Ak,1
2020-08-08,Mission: Impossible - Rogue Nation,2015,https://boxd.it/5rI4,3.5
2020-08-08,Get Out,2017,https://boxd.it/eOCm,4
2020-08-10,Die Hard,1988,https://boxd.it/2a7u,4
2020-08-12,Twilight,2008,https://boxd.it/1Zui,1
2020-08-13,Ghostbusters,1984,https://boxd.it/g2w,4
2020-08-13,The Muppets,2011,https://boxd.it/1zg,4
2020-08-14,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,3.5
2020-08-14,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,3.5
2020-08-14,The Secret Life of Pets,2016,https://boxd.it/aJ5E,3
2020-08-14,Despicable Me 2,2013,https://boxd.it/3gg0,3
2020-08-15,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/7DWQ,1
2020-08-17,Project Power,2020,https://boxd.it/ml8S,3
2020-08-17,Alice in Wonderland,2010,https://boxd.it/1Spq,2
2020-08-22,Incredibles 2,2018,https://boxd.it/7IPg,4.5
2020-08-22,Ratatouille,2007,https://boxd.it/27ww,4
